[header]
width=16
height=16
tilewidth=32
tileheight=32
orientation=orthogonal

[tilesets]
tileset=../Pictures/Zpa4ZvlsD101dtshjhhSJW6Ga0qa8o4mIiJLsGH0XX9A6Sr1r3Z4AtKbetcLkBSz_old_double.png,32,32,0,0

[layer]
type=Tilelaag 1
data=
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,26,27,35,28,29,35,119,37,1,1,1,1,1,
1,1,1,105,106,89,89,89,89,89,56,1,1,1,1,1,
1,1,1,124,89,154,89,89,89,89,75,32,101,102,103,1,
1,1,1,105,89,154,154,61,108,89,50,51,120,121,122,1,
1,1,1,83,84,60,84,146,148,89,89,89,89,157,56,1,
1,101,101,101,102,42,102,101,167,66,84,84,79,80,81,1,
1,26,21,22,121,60,121,31,102,42,102,82,101,102,103,1,
1,124,40,41,159,89,157,50,121,66,121,120,120,121,122,1,
1,105,89,89,89,89,89,109,89,74,66,66,53,55,56,1,
1,124,89,175,89,89,89,128,89,89,74,89,175,149,75,1,
1,105,89,89,89,159,89,128,89,89,89,89,89,89,56,1,
1,124,89,89,89,89,131,128,89,89,89,175,89,89,75,1,
1,167,168,169,168,169,146,147,148,89,89,89,89,131,132,1,
1,1,187,188,187,188,186,166,167,169,168,169,168,169,170,171,
1,1,1,1,1,1,186,166,187,188,187,188,187,188,189,190

